タイトル,レビュー,カテゴリー,星数,参考になった数
おすすめ,"おすすめ
中古品が少しだけ安かったので「とても良い」状態のものを購入しました。
届くと箱からコーヒーの粉がドサドサ出てきて、絶対に簡易清掃すらされていない本体が出てきました。
出荷ギリギリまでつかってそのまま箱にいれました？ってレベルだったので、さすがに返品しました。
返品して新品を買おうとチェックしたら、Amazonプライムセール？で中古より新品が安くなっていました！
中古よりセールを待った方が安く買えます…
新しくきた新品はもちろん綺麗だし、本当に便利で、簡単で、毎日手軽にカフェラテが飲めて最高です。
粉状にひいた豆も使用することができ、これが来る前に購入していた豆が無駄にならず助かりました。
水がない、ゴミが溜まっている等はマークでお知らせしてくれるので付属の表を見て判断しています。
思いのほかゴミはすぐ溜まるので、こまめに捨てるのがオススメです。
起動は早い！というほどではありませんが、お湯を沸かしてハンドドリップするより何倍も早いです。
自分はYouTubeをみて、豆をいちばん細かくひく設定にして使っています。クレマが出やすい？ようです。
豆の量を少ない設定にしているとやっぱりクレマは少ないですが、濃くするほどしっかり出てくれて、ビジュアル的にも楽しめます。オススメです。
スチーマーは実はまだつかってませんが、それでも現状買ってよかったと思っています👍🏻
","1,2,3,4,6",5.0,1
ミルクを泡立たない人にはちょっと,"ミルクを泡立たない人にはちょっと
全自動で同じコーヒー豆でも、グラインド式よりはるかに美味しいです。ただし、カプチーノなど楽しむ習慣がない人には無駄な機能がついています。この機能がない臼式のコーヒーメーカーなら半額以下で買えるので、それで十分でしょう。因みに、我が家はセカンドハウス用とで両方持ってますが、このデロンギが故障したら、後者の臼式のを又買うつもりです。
カスタマー画像
","1,2",4.0,2
買って正解でした,"買って正解でした
ブラックフライデーのタイミングで購入しました。初めてのデロンギでしたが、買ってよかったと思っています。これを買ってから毎朝のレギュレーションが変わりました。これまでは湯を沸かし手動でドリッパー入れたコーヒーにお湯を注いでいましたが、その面倒な工程から卒業できました。入門機ながら、デロンギで淹れたコーヒーはやはりおいしいです。
冬場はカフェ・ジャポーネでホットを、夏場はエスプレッソで淹れたコーヒーを氷を混ぜアイスコーヒーを楽しんでます。
1点何点を挙げるとすれば、豆からドリップする場合、コーヒーの味が薄く感じることです。豆の量を多少は調整はできるが最大量にしても薄く感じます。なので豆から入れる場合、私は一旦グラインダーで豆を挽いてから粉からドリップするようにしています（粉で淹れる場合、分量はお好みでいけます）
","1,4",5.0,1
簡単にカプチーノができます。,"簡単にカプチーノができます。
操作は簡単です。デロンギのカスタマーセンターもとても対応がいいです。",1,5.0,0
購入して良かったです！,"購入して良かったです！
毎日、美味しいコーヒーが飲めて嬉しいです！
朝、仕事に行く前のコーヒーは格別です！",4,5.0,0
エスプレッソで飲むのが日常化した,"エスプレッソで飲むのが日常化した
味が確りして、エスプレッソで飲むことが一番美味しく飲める。カプチーノも簡単に作れる。",4,5.0,0
良い,"良い
良い",5,5.0,0
ジャポネーゼ機能が満足,"ジャポネーゼ機能が満足
使い始めて4年ほどですが、ほぼ毎日使っています。
他のメーカーと比べての決めては「コップに1杯1杯注げて飲める」です。
初めはエスプレッソモードだけのお安めのモデルにしていましたが、いちいちお湯で薄める手間があったのですが、こちらはその手間がなく快適です。
年に一回石灰除去は必須ですがそこまで手間では無いです。
カプチーノも何度か作っていますが、なかなかクリーミーな泡は作れず。
それでも挽きたての豆からのコーヒーは格別！
","1,2,3,4",4.0,2
早く買えばよかった,"早く買えばよかった
数年間、買おうかどうか迷ってましたが、評判通りのモノで大満足です。とにかくメンテが楽で、毎日美味しいコーヒーを味わっています。
",1,5.0,2
最高！,"最高！
お高い品ですが、それだけの価値があります。
手軽にひきたてコーヒーを楽しめてお手入れも簡単。
","1,3",5.0,3
美味しい,"美味しい
念願のマシン購入、デロンギはフードプロセッサーも使っていて故障も無く良く信頼しています。今回も高価な物だけど自分へのご褒美に
毎日美味しいコーヒー飲めて幸せ、最初どのメニューぎ自分に合うかなどちょっと試さないとわからないけど買って良かった。
電源を切ると洗浄で水が出てくるのはビックリでした
","1,3,4",5.0,1
とても美味しい,"とても美味しい
商品到着後、直ぐにセッティングしミルクの泡泡にエスプレッソを入れ、主人に飲ませたら、とても美味しいと言い、次にカプチーノを入れました。とても美味しかったです。コーヒー店の物に負けていません！いや自分で作るから、それ以上だと思っています。
普通のコーヒーメーカーに比べたら高額商品でしたが、後悔はありません！
","2,3,4",5.0,2
日常を豊かにする,"日常を豊かにする
プライムデーで購入してから一カ月ほど経ったのでレビュー。結論から言うと本当に買ってよかった。
当方コーヒーの味には全くうるさくなく、この商品を買うまではインスタントコーヒーでも美味しいと思う舌でした。が、もうインスタントでは満足できなくなりました。
豆から挽いたコーヒーがこんなに美味しいなんて！！家族で暇さえあれば飲んでいるので恐ろしい速さで豆が消費されていきます。が、外でコーヒーを飲まなくなったので元はすぐとれそう。

特筆すべきは圧倒的な楽さ。豆と水を投入するだけでコーヒーはボタン一つで出てくるし、毎日のお手入れはカス入れに溜まった豆のカスを捨てて水受けの水を捨てるくらいなので共働き子育て世帯の我が家は本当に助かっています。超絶おすすめします！
","1,4",5.0,5
確実にコーヒーを飲む回数が増えます,"確実にコーヒーを飲む回数が増えます
ドリップ式のコーヒーメーカーからの買い替え。
全自動で、簡単に美味しいコーヒーが淹れられるので、確実にコーヒーを飲む回数が増えます。

白いキッチン家電が多いため、カラーは白を購入。
基本的にコーヒーしか飲まない(カフェラテは作らない)ので、ミルクフロッサーは未使用。
なので、左側は ほぼ壁に寄せています。
横幅も炊飯器と同じくらいですし、ウチのキッチンに違和感なく 収まっています。

コンビニコーヒーに比べ 「コスパが良い」と メリットを挙げるひともいますが、
コンビニよりも、断然コーヒーを飲む頻度が増えますし、豆の費用も考えると、私の場合 決してコスパが良いとは言えませんが、
それでも、美味しい 挽き立てのコーヒーが いつでも気軽に飲める生活があることに、魅力を感じています。
","1,3,4",5.0,1
1点購入前に確認を。本商品はとてもおいしいコーヒーが飲めます,"1点購入前に確認を。本商品はとてもおいしいコーヒーが飲めます
コーヒー豆を普段使わず、粉からドリップやインスタントを使っている方には購入前に1点注意点があります。

近所のスーパー等で、コーヒー豆が販売されているか。入手先を先に見つけておくことをおすすめします。
私の近所のスーパーはコーヒーの粉やインスタントコーヒーしか売っておらず、近所のスーパーでコーヒー豆を取り扱っていませんでした。
要望を出したのですが、以前は取り扱っていたが需要が少なく置けなくなったとのことでした。
そのため、コーヒー豆の入手先を見つけてから本商品を購入するのをおすすめします。
もちろんインターネットで購入も出来ますが、送料等かかってしまうので気軽に色々な味を試せないので..。

本商品としては、
他のコーヒーマシンと比較すると、どうしても価格が高いです。
ただし、とてもおいしいコーヒーが飲めます！
毎日コーヒーを飲む人にはおすすめできます。
","2,3,4",5.0,1
買ったことを後悔しています,"買ったことを後悔しています
プライムデーでこちらを買いましたが、正直買ったことを後悔しています。
なんせワンボタンで簡単に引き立てのエスプレッソが飲めるし、スチーマーを使えばカフェラテも簡単に作れるので、ついついコーヒーを飲みすぎてしまって豆の消費量が半端ないことになってます。
しかも、手入れまで楽なのでマグニフィカのない生活には戻れなくなってしまいました。
ほんと買ってしまったことを後悔しています。
","1,4",5.0,10
家庭で美味しいコーヒーが飲めます,"家庭で美味しいコーヒーが飲めます
豆の種類によって中でお湯がつまり出てこないことが多々あります。少なめのエスプレッソをお湯で割るか氷水で割るアメリカンはとても美味しいです。","1,4",5.0,0
値段と良い,"値段と良い
毎日使って居ます
","3,4",4.0,3
使いやすさ,"使いやすさ
使いやすくて壊れにくいところがいいです。
",1,5.0,1
置き場所に注意が必要,"置き場所に注意が必要
オーテンティカをプライムデーで購入。化粧箱を運搬用ダンボールで包んであるので贈り物にもなります。メイドインイタリーでちょっと新鮮。チャイナじゃないんだ。
エスプレッソの味は申し分ないです。モカエクスプレスのブリッカを使ってましたがもっとクレマが出ると言っても過言でない。スクリーンタッチだけで飲めて毎日の掃除も簡単。デカフェの豆を使うと家計が火の車になるほどエスプレッソが飲めます。カフェイン酔いする人もデカフェにしよう。かす入れは10杯くらいでゴミ捨てが必要かな。
マイナスポイントは3つ。タンクが後ろにあるから上方と後ろへのアクセス確保が必須であることと、タンクは上に引き上げるので上側のクリアランスも40cmほど必要です。幅が狭く奥行きがあるので置き場所は上と右側がオープンな場所でないと不便。カウンターキッチンの端っこに置くなんかはいいけど、壁際に電子レンジと並べて置くとか、奥まった場所はたぶん不便。後ろにアクセスできない場合は、台ごと前に引き出せるようなギミックのある台とかに置くのでない限り買ってはいけません。キッチンワゴンなんかに乗せられると出し入れできていいでしょう。
つぎに、すでに挽いてしまった粉は使いにくいこと。投入口が狭く、1抽出ごとに投入が必要で入れっぱなしにできない。投入口も狭く溢れる(機械の端の方ではないから下にはこぼれないが)。イリーの粉がだいぶ残っていたので使ったが使いにくい。
3つ目、誤って粉を入れてから水不足の状態で抽出しようとしてしまうと粉が捨てられてトレーの奥の方に排出されて無駄になるのと、奥まった場所で掃除しにくい。粉を入れてから電源投入して予備運転で粉を無駄にしてしまうこともあった。まあ慣れろという話かもしれないけど、挽いてある粉を使うことがある人は気をつけてほしい。

カフェイン酔いする人はデカフェを買ってください。買ってすぐは楽しいので使いまくって気分が悪くなります。デカフェを買おう。
カスタマー画像カスタマー画像カスタマー画像
","1,4",5.0,14
ベストです,"ベストです
気に入りました！
家族みんなで使ってまーす
",4,4.0,5
よく出来ている,"よく出来ている
同価格帯のgaggiaよりとても作りが良く手入れも楽です。味は豆次第でしょう。","1,2,3",5.0,0
高価だけど良かった,"高価だけど良かった
購入前は同じデロリアンのBAR14Nでエスプレッソを作っていたが、粉を充填するのや後始末が面倒で、作る機会が減っていたが、これなら豆をひいて作って豆のかすも捨てやすい。
カプチーノを作るときも以前はミルクの泡立ても上手く行かなかったがこれは自動でいれてくれて失敗なし。
あとは長く使えることを願うのみです。","1,2",5.0,0
楽ちん,"楽ちん
今までデロンギの手動エスプレッソマシーンを使っていました。壊れてしまったためこちらに買い替えしました。今までは豆を引いたものを購入していました。こちらは豆を購入し、都度挽いて飲めるので鮮度、味共に高く、手入れも楽ちんです。以前は洗い物があり、洗わないと3杯目は飲めませんでしたがこちらは何杯も淹れられます。便利です。購入時少々高くて悩みましたが、思い切って購入して良かったです。
","1,2,3,4",5.0,1
手軽,"手軽
手軽に入れたてのコーヒーが飲める。普通のコーヒーメーカーに戻れない。",1,5.0,0
豆が落ちづらい,"豆が落ちづらい
豆を多く入れると豆がなかなか自動で落ちていかないです。
前のやつは脂分が多い豆は落ちて行きませんでしたが、この機種はサラサラな豆でも落ちていかずに空回りしまくります。少なく入れるか、手で押し込めば問題ないですが。",1,3.0,0
毎日,"毎日
愛用してます",4,5.0,0
商品は良いが安定性に欠ける,"商品は良いが安定性に欠ける
購入後しばらくして本体下部が水浸しになる事数度。水受け皿がオーバーフローしたと思い込み、こまめに水を捨てていたが改善せず。
よく見ると給水タンクを取り付けるレール部分に大き目の水滴がありました。どうやら給水タンクと本体接続部の封水が弱いようで商品交換となる。
交換後は水漏れすることもなく、また本機で淹れるコーヒーはドリップ式では味わった事のない美味しさで気に入って使用しています。
豆を変えるとポンコツの舌でも味の違いが分かり、買って良かったと思います。
ただ、ラテクレマシステムを使う時、稀に盛大な蒸気漏れを起こすのが玉に瑕。
しっかりと組み立てて使っているつもりなのに蒸気漏れの原因が分からず。
組み直して再スタートするとだいたい正常になるので、諦めています。
総じて気に入っているので多少の不具合は、アバタもエクボとして受け入れていますが、常に完璧を求める人には合わないかも？です。
（あくまで個人的な感想）
","1,4",4.0,5
簡単に美味しいコーヒーが飲めます,"簡単に美味しいコーヒーが飲めます
ミルクメニューのカフェラテなどよく飲むのでこの機種を探してました。店舗に在庫がなくこちらで見つけて購入しました。
とても簡単にカフェラテが出来るので、子供達が毎日飲んでます。
とても簡単で本格的なコーヒーも作れるので買って良かったです。
",1,5.0,4
自動でやってくれるので、とっても簡単。,"自動でやってくれるので、とっても簡単。
自宅で手軽にカフェの味を楽しめる。
",1,5.0,1
今の自分には十分。,"今の自分には十分。
色々なコーヒー豆を買って来て、挽き具合を調節してコーヒーを楽しんでいます。",4,5.0,0
牛乳の消費量が・・・,"牛乳の消費量が・・・
妻が全自動式のマシンを欲しがっており、当初は1～2万程度の製品を買うつもりで、リサーチして色々と比較して迷っていました。私は家電品など細かい仕様までチェックするたちで、調べれば調べる程気に入る製品がありませんでした。次第に価格帯を上げていったところ、やはりデロンギにぶち当たりました。どのクラスも基本性のは同じですが、入れられる種類が一定以上のレベルでしたので、それならばホットミルクやラテマキアートも出来れば子供達も飲めるので、人数増える分の収支バランスも数年で元取れると考え、予定の十倍以上の値段となりましたが本製品を選びました。
かれこれ2か月以上経過しましたが、家族やたまに訪れる来客に好評で、毎日フル稼働しています。
掃除の手間暇も長持ちさせて、美味しいものが飲める事を考えれば苦になりません。
唯一の欠点は、ミルクの消費量が倍以上となり、毎日1本は買っている感じです。
","1,2,3,4",4.0,10
基本的によい,"基本的によい
横幅はスリム、縦幅は他より長いのでそこは注意。それ以外は満足！
",1,4.0,2
毎日美味しい,"毎日美味しい
美味しいコーヒーを、好きな時にいただけて、購入して本当に良かった。
",1,5.0,1
買ってよかったです。,"買ってよかったです。
コーヒーが大好きで一日に何杯も飲むので少しお高めですが購入しました。
自宅でテロンギで淹れたてのコーヒーを飲むようになってからは毎日の習慣のコンビニコーヒーを買わなくなりましたホントに買ってよかったです。日々のメンテナンスも楽ちんで◎です。
テロンギさんのアンケートに応募したらコーヒー豆も頂けて+アマゾンのギフト券1万円分も当選しました。ありがとうございました。(^^♪
毎日フル回転で使用してるので耐久年数と豆の消費量が増えた…のが気になるところです。
","1,3",5.0,3
満足してます。,"満足してます。
初めまは操作方法に手間取りましたが、慣れてくるとコーヒーを作るのが楽です。",1,5.0,0
家で飲むには充分すぎるスペック,"家で飲むには充分すぎるスペック
今まで仕事柄、自宅ではリネアミニを使っていました。
飲みたいと思ってもマシンが温まるまで最低30分かかりメンテナンスも大変！
仕事でマルゾッコ2連を使っていたのですが、家用では楽したい！と思いこちらを購入。
色々と試して店の味に近づきました。
ミルクのフワフワはスチームでは出ないレベル！
あとカップを置けば自動で出てきます。楽ちん！
ミルクフォームのパーツが丸洗いできる点も◎！
ただ、これはカプチーノというよりデザートに近いです。
毎朝イタリアで飲む物とは違います…毎朝はちょっと飽きますね。
スチームのサラッとした毎朝飲めるイタリアのカプチーノをお望みの方は避けた方が無難です。
甘々ふわふわデザート風カプチーノを飲みたい方と片付けが楽なマシンをお求めの方にはおすすめです。
","1,4",5.0,8
操作が簡単で使いやすい,"操作が簡単で使いやすい
ペーパーフィルタ式のコーヒーメーカーと違いフィルタもいらず、ドリップした
かすも乾燥した状態で出てくるので、捨てる時も手が汚れません。
コーヒーの濃さも調整でき、一度にたくさんの豆を入れるとともできるので
家でコーヒーを飲む回数が増えました。
","1,2",5.0,1
お客様に喜んでいただけました,"お客様に喜んでいただけました
お客様の竣工祝いに贈りました。
迅速に対応していただきお客様にも喜んでいただけました。
",4,5.0,1
思いの外買って良かった家電,"思いの外買って良かった家電
美味しいコーヒーが味わえて手入れも楽ちん、コーヒー豆のカスホルダーにはキッチンペーパーを敷いておけば捨てるの楽、多少濡れるけど。
次のコーヒー豆どれにしようか楽しみである。
",1,5.0,8
ミルクコンテナなんて飾りです！偉い人にはそれがわからんのです,"ミルクコンテナなんて飾りです！偉い人にはそれがわからんのです
小型の牛乳パックから直接吸入することでミルクコンテナを洗う手間がなくなり日々のお手入れがずっと楽になります。
おススメです。
カスタマー画像
","1,4",4.0,2
間違いない。,"間違いない。
本当におすすめです。
",5,5.0,5
購入に向かわせたレビューの熱量よ,"購入に向かわせたレビューの熱量よ
性能は満足ですが７０°Cより熱いコーヒーが好きなのでカップをあたためる作業をレンジでやっている。豆を手当たり次第にさがしている楽しみをやっております(＾ω＾)
","1,4",5.0,5
コーヒーの美味しさにはまった,"コーヒーの美味しさにはまった
全自動が１番、ラテがたのしいし、美味しい
",1,4.0,2
日々の暮らしに上質が得られます。,"日々の暮らしに上質が得られます。
お値段的にお高いと思えますが、置場を確保出来るのでしたら日々の暮らしに上質を得られますのでお薦め致します。
","1,3",5.0,1
ボタン押すだけで美味しいコーヒーが飲めます！,"ボタン押すだけで美味しいコーヒーが飲めます！
会社で買ってた分を家用に買いました。
美味しくコーヒーを飲めるようになって、コーヒー豆の消費量がハンパないです。
手入れも楽ですが、白は汚れが目立つので、黒がお勧めです。
","1,4",5.0,3
買って良かった,"買って良かった
いつでも美味しいコーヒーが飲める。
駆動、完了時に結構水を使うので、
タンクの入れ替え頻度が高い、タンク設置のまま水補給出来たら良いのに。",1,3.0,0
家で簡単に,"家で簡単に
毎日美味しいカフェラテが飲む事が出来て買って良かったです
手入れも簡単です",1,5.0,0
コーヒーを飲むときの億劫さがほぼなくなりました,"コーヒーを飲むときの億劫さがほぼなくなりました
プライムデーに49,800円で購入し、3ヶ月程度（週3日、4杯/日くらいの頻度）使用した感想です。
レビューブログなみに長くなります。

本製品購入前は、電動ミル+7,000円くらいのコーヒーメーカー（抽出のみ）という環境でコーヒーを淹れていました。
豆からしか淹れていないので、粉から抽出した場合の使用感はわかりません。
また、フロッサーも今のところ使用していません。
味についてはあまり詳しくないので大きなことは言えませんが、これまでと比べてとても美味しく感じます。

豆を引くのも自動であること、フィルターが不要なこと、抽出後のコーヒーがらを捨てるのが楽そうなところに惹かれて本製品を購入しました。

【設定した項目】
・ECO（節電機能）
　電源ON時の常時予熱をオフにしました。
　抽出ごとに多少待ち時間が発生しますが、+15秒程度なので気になりません。熱は電気を食うのでECOモードにしています。

・1杯の抽出量
　手持ちのマグカップに対し、初期設定の抽出量が少なかったので、設定して増やしました。
　設定した量を一度に抽出するのではなく、元々の抽出量1回ぶんの豆を挽いて抽出、足りないぶんを自動的に追加で挽いて抽出……というような動きになります。
　量の設定変更自体は簡単かつ柔軟にできるので、よく使うコップに合わせると便利です。
　なお、抽出量の設定を変更できるのは通常のコーヒーのみで、カフェ・ジャポーネは変更できません。

【使用時の実際の流れ】
購入前に考えていたよりは手動操作部分が多かったです（仕方のないものばかりではあります）。

①水をタンクに入れる。
②電源を入れる。この時点で最初に自動清掃が行われるため、適当なカップを置いておき、出てきたお湯を捨てる。

③コーヒー豆を適当に投入する。
④抽出ボタンの中から飲みたいものを選び、抽出開始。
⑤1分程度で抽出完了。
⑥ある程度コーヒーがらが溜まってきた場合（お知らせのランプが点灯する）、コーヒーがら受けを取り外して中身を捨てる。軽く水洗いもする。

～飲むぶんだけ③～⑥繰り返し～

⑦電源をオフにする（②と同様に自動清掃が開始されるため、適当なカップでお湯を受けて捨てる）。
⑧給水タンクに残った水を捨て、乾かす。

※しばらく使用しないと自動で電源がオフになります。その場合、カップを置いていなければ水滴受けに水が溜まります。
　自動電源オフの時間は標準設定では2時間で、15分～3時間の間で設定可能です。

【良かった点】
・これまでのコーヒーメーカーでは5杯ぶんを一気に淹れてから飲んでいたため、最後の方はポットの中身も冷めてしまっていましたが、本製品は1杯ずつ抽出できるので、常に淹れたての温かいコーヒーを飲めます。また、同様の理由により、淹れすぎて飲みきれなかったぶんを捨てたりすることもなくなりました。
　逆に、カップに1杯ずつ直接注ぐ方式のため、アイスコーヒーを作るときは量を調節するなど一工夫要るかもしれません。

・コーヒーがら受け、水滴受け、給水タンクなど、水洗いする必要がある部分のつくりが良くできており、お手入れがとても楽です。
　さっと水で流すだけできれいになりますし、本体への脱着も引っかかりがなくスムーズにできるため、ストレスがありません。
　注ぎ口を上下できてあらゆるカップに対応できたりなど、痒いところに手が届く/モノとしてよくできているという印象です。

・コーヒーがらがほぼ乾燥した状態で出てくるので、直接ゴミ袋に捨てることができるようになり、三角トレイに入れなくてもよくなりました。フィルターも不要なため非常に楽です。ここはほぼ期待どおりです。

【残念だった点】
・商品紹介動画では、抽出後のコーヒーがらは円筒形で綺麗に排出されるようなイメージでしたが、実際はわりとバラバラな状態で溜まっていきます。豆の種類にもよるとは思いますが、ひっくり返しただけでは多少受け皿の底に残ってしまうため、水洗いは必須です。とはいえ、水で流せば手でこする必要もないくらいなので、そこまで気にはなりません。

・給水タンクについて。マグカップ4～5杯くらい飲むと足りなくなるため、起動前には水を満タンで入れていますが、少し持ちづらい形状をしており、水を入れた状態だと結構重く感じます。底面を濡らさないようにキッチンシンクで持ったまま給水すると、結構辛いです。

・コーヒー豆を入れる部分について。本製品では「5杯飲むから5杯分の豆を入れる」というより、「ある程度豆を投入しておいて、足りなくなりそうなら順次追加投入していく」というような使い方をします。
　そのため、本体の中にコーヒー豆がある程度残り続けることになります。使わなかったぶんを回収するのはほぼ不可能です。
　蓋はあるものの、缶のキャニスターと比べて密封は甘いので、毎日飲まないのであれば劣化していくことになります。
　私はあまり気にしないことにしたので、1週間ぶりとかでもそのまま追加投入して使用しますが、そのあたりが我慢できない人には向いていないかもしれません。

・豆を挽くときと抽出時の音はまあまあうるさいです。掃除機の吸引力中くらいの大きさでしょうか。
　通話中とかに動かすと「何の音！？」と言われたりします。
　とはいえ普通に電動ミルで挽いてるときと大差はないです。

・コーヒーを飲むのが楽しみになり、量が増えたため、カフェイン摂取量が激増した気がします。
　ただ、以前と比べて、同じ量を飲んでもあまり気持ち悪くならないような気がします。おそらく気のせいです。

総じて、
「味にものすごいこだわりがあるわけではないが、コーヒー自体は頻繁に飲む」
「コーヒーメーカーを持っていないので、初めて買ってみたい」
という人には非常によい製品です。
電動ミル＋安めのコーヒーメーカーで10,000円くらい使うよりは、断然こちらを買うのをおすすめします。

役に立った
レポート
        Mori
5つ星のうち4.0 美味すぎて消費が増える
2023年1月30日に日本でレビュー済み
スタイル: 1) コーヒーメーカー単品パターン名: 1)【エントリー/ブラック】シンプル機能・ミルク泡立て手動Amazonで購入
良い点
ボタンひとつでコーヒーを淹れられる
コーヒーの豆カスが圧縮されて出てくるので捨てやすい
基本水洗いのみでOKで掃除が楽
豆の量をすぐ変えられる
豆や水の補充が楽

注意点
ラテの後は掃除が面倒（とても面倒くさいので作らなくなった）
カフェジャッポーネは美味いが豆の消費量がエスプレッソの倍。飲みすぎるとすぐなくなる
豆の挽き具合が簡単に変えられない・すぐ反映されない
抽出量が豆の量で若干ズレるので慣れが必要

買って損な点はラテ淹れた時の掃除の面倒臭さくらいで、他は満足すること間違い無し。
いつでも美味しいコーヒーが飲めると言うことは消費が増えるということでもあるので飲み過ぎには注意
10人のお客様がこれが役に立ったと考えています","1,3,4",5.0,34
とにかく楽,"とにかく楽
豆挽きから抽出までフルオートでフィルター要らずはとにかく楽です、値段が安いフィルター式自動コーヒーメーカー買う位ならこっち買った方が良いです。","1,2,3",5.0,0
美味い！,"美味い！
９万程度しましたが、その価値あります！家にスタバがあるようなもんです。コーヒー好きは買って損しないと思います。お手入れも楽です。買ってよかった！
","1,3",5.0,3
全自動エスプレッソマシーン！！,"全自動エスプレッソマシーン！！
エスプレッソや、カフェラテなどのミルクに濃いめのコーヒーを飲むのが好きな方は良いと思います。

カフェジャポーネは、普通のドリップかと思いきや、アメリカンな仕上がり。（ハッキリ言って単独だとあまり美味しくない）
濃いめのドリップが好みの方は、
大きめのマグカップの、
ジャポネボタン一回、プラス、エスプレッソ2杯を足すと、濃いめのドリップの味に近かったです。

トータルで考えても、買ってよかったとは思います。
在宅勤務が週半分あるので、自宅でコーヒーが手軽に飲めるのと、
全自動でこのクオリティは嬉しい。

使う豆によっても大きく味が違うのと、
弾き方や淹れ方を自分好みになるまで研究の余地はありそうです。

普通の豆だったから薄かったのかな。
今度はエスプレッソ用の豆にしてみよっと！

＜追記＞
・後日談です。
カフェジャポーネの「濃さ」についてですが、豆量のダイヤルを最大に（MIN→MAX）回して、それが反映されるのが２杯後くらいだそうで、、、
その後、なんだかとっても自分好みに味が変わりました。（調整することができました）
満足！！かんたん、おいしい！！一日に数杯飲む方は、買いだと思います。
いろいろな淹れ方を試して模索するのも楽しいかも。
","1,4",4.0,14
美味しい！,"美味しい！
お手入れも簡単です！
とにかくコーヒーが美味しい。",1,5.0,0
お手軽美味しい,"お手軽美味しい
値は張りますが、多くのミルクメニューとデザインに惹かれてこれにしました。

デザイン
直線的かつ黒を基調にしていて、個人的には全モデルの中で1番。これが決め手と言っても過言ではないです。
コーヒー
普段はお得用の豆を使っています。適切な温度で抽出するからか自分で淹れるより美味しいです。
週末じっくり味わいたい時は、いい豆を使い味も相応に良くなります。
エスプレッソベースだからか濃厚で、ドリップで淹れるよりやや苦味を感じます。
クリアに飲みたい時はドリップで淹れてます。
カフェジャポーネは確かにドリップに近くなります。ただデフォルトだと量が多いので量設定で半分の量にして飲んでます。
ミルクメニュー
このマシンの1番の売りかと。お手軽に様々なラテメニューを楽しめます。
砂糖を入れなくても牛乳のほんのり甘みを感じます。
低温殺菌牛乳を使うと最高。
アレンジとしてバナナ豆乳をブレンドすることがあります。これがまた甘さと苦味の共演で美味しい。
音
正直大きく、深夜に使うのは気を遣います。
机によってはビビり音が出るので下に吸音シートをしくといいかもです。
豆入れ
1度に大量の豆を入れることが出来ますが、複数種類の切り替えはないので、そうしたい場合は必要最小限の豆を入れます。
あと、粉と豆を併用する場合は、豆の種類設定を間違えないようにする必要があります。
粉を入れた後、間違えて設定が豆で抽出を実行すると入れたばかりの粉がカス受けに落ち無駄になります。リカバリーできません。
手入れ
一日の終わりにかすを捨て、水受けを軽く洗い流すだけなので楽ちん。
ミルクコンテナのチューブは水洗いだけだと匂いが気になってくるので、別途ブラシを使うのがいい。私はPerfectgoingの哺乳瓶用ブラシ175mmを使ってます。ジャストフィットです
その他
水の残量がまだあるのに警告がすぐ出ます。しかも出たら補給するまで何も操作できません。

色々書きましたが総合的にはかなり満足しています。
コーヒー飲む量が爆上がりしています。
","1,3,4",5.0,16
便利すぎてコーヒーを飲み過ぎてしまう,"便利すぎてコーヒーを飲み過ぎてしまう
なにせインスタントより手間がかからない。
中途半端な他社のコーヒーメーカー買うなら
絶対これを買ったほうが良い。
",1,5.0,5
QOLが上がります,"QOLが上がります
エントリーモデルとしては申し分ないのではないでしょうか？
これから色々な豆を試して楽しみたいです。
ちなみに購入してすぐに一杯淹れた後、壊れました。メーカーに修理依頼しましたが、1週間ほどで完了しました。壊れるのも早かったですが、修理も早いです。
その後は快適に使用しております
","6,7",4.0,2
残念なこと,"残念なこと
受け皿の穴に湯がはいらず、毎回拭いてます。残念な造り。
",1,3.0,5
美味しい,"美味しい
あまりコーヒーにこだわりは無く、味もわからない私ですが、美味しいと思える味です。
味の濃さや量を調整できるのでホットは豆の量これくらいでアイスは氷で溶けるからホットより濃いめで.....
等、自分の好みに調整出来るのが最大のメリットです。
また、豆の処理もある程度固めてくれるので楽。
他のレビューにもありますが、音がうるさいので気になる人は気になるかも。
体感でバリスタやドルチェグストの1.5倍くらいうるさいです。
","1,2",5.0,2
スタバがうちに来た,"スタバがうちに来た
少し高額でしたが、自動でスタバ並みのコーヒーができるので感動です。
ミルクもフワフワのが出来て、とても美味しいです。
","1,3",5.0,4
満足,"満足
高い買物でしたので、いろいろ調べて購入しましたが買ってよかったです。
大変美味しくて、出かける際も携帯ボトルに入れて出かけています
最近は、コンビニにコーヒーを買いに行く頻度が減りました。
",4,5.0,3
コーシーうんま,"コーシーうんま
家で本格コーヒー楽しめるの最高。
豆にもよるが、スタバ店舗のハウスブレンドで飲めばひろし
",4,5.0,1
買って良かった,"買って良かった
ずっと欲しかったデロンギですが、
セールの時に思い切って購入しました。
思ったより少し音がうるさいので、夜中とかだと近所迷惑になるかと思い使わないようにしてます。
ボタンひとつでいつでも作りたてのコーヒーが飲めるので、とても満足してます。
リモートワーク時にいつも飲んでいたインスタントコーヒーには戻れません！笑
",1,5.0,1
